GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SFG Brewery Monolith UI,guru.sfg.brewery.bootstrap,DefaultBreweryLoader,0,109,2,2,0,44,2,4,0,4
SFG Brewery Monolith UI,guru.sfg.brewery.interceptors,OrderHeaderInterceptor,71,10,12,0,11,4,7,2,1,2
SFG Brewery Monolith UI,guru.sfg.brewery.events,NewBeerOrderEvent,8,0,0,0,3,0,2,0,2,0
SFG Brewery Monolith UI,guru.sfg.brewery.events,BrewBeerEvent,8,0,0,0,3,0,2,0,2,0
SFG Brewery Monolith UI,guru.sfg.brewery.events,BeerOrderStatusChangeEvent,14,0,0,0,5,0,3,0,3,0
SFG Brewery Monolith UI,guru.sfg.brewery.events,NewInventoryEvent,8,0,0,0,3,0,2,0,2,0
SFG Brewery Monolith UI,guru.sfg.brewery.web.mappers,DateMapper,38,3,4,0,8,1,4,1,2,1
SFG Brewery Monolith UI,guru.sfg.brewery.web.mappers,BeerMapperImpl,5,3,0,0,1,1,1,1,1,1
SFG Brewery Monolith UI,guru.sfg.brewery.web.mappers,BeerOrderLineMapperImpl,0,3,0,0,0,1,0,1,0,1
SFG Brewery Monolith UI,guru.sfg.brewery.web.mappers,BeerOrderLineMapperImpl_,90,3,8,0,20,1,6,1,2,1
SFG Brewery Monolith UI,guru.sfg.brewery.web.mappers,BeerOrderMapperImpl,248,3,28,0,62,1,22,1,6,1
SFG Brewery Monolith UI,guru.sfg.brewery.web.mappers,BeerMapperImpl_,120,3,8,0,26,1,6,1,2,1
SFG Brewery Monolith UI,guru.sfg.brewery.web.mappers,BeerMapperDecorator,26,7,4,0,6,3,3,2,1,2
SFG Brewery Monolith UI,guru.sfg.brewery.web.mappers,BeerOrderLineMapperDecorator,31,11,0,0,7,5,2,3,2,3
